Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,Annual,Station_Number,Type_data
1856,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-5.9,999.9,27479,Av_Temp
1857,-9.5,-11.4,-2.3,2.4,10.5,16.1,18.4,16.7,7.9,3.5,-5.2,-9.0,3.2,27479,Av_Temp
1858,-11.6,-11.8,-7.3,3.4,15.8,15.2,21.0,15.3,10.1,5.4,-8.6,-8.6,3.2,27479,Av_Temp
1859,-11.3,-8.3,-6.2,6.4,11.4,20.5,17.6,14.9,9.7,5.1,-2.6,-9.4,4.0,27479,Av_Temp
1860,-14.3,-12.0,-10.3,4.2,10.4,17.9,19.3,17.7,11.8,4.7,-7.2,-19.9,1.9,27479,Av_Temp
1861,-18.6,-11.8,-2.8,-2.0,13.5,13.9,21.5,17.3,9.7,0.4,-3.5,-10.4,2.3,27479,Av_Temp
1862,-15.4,-15.7,-5.6,3.4,7.1,15.6,19.2,12.7,9.0,0.1,-8.9,-15.8,0.5,27479,Av_Temp
1863,-5.6,-9.7,-6.0,4.0,14.6,14.2,18.0,17.3,12.9,3.7,-2.2,-8.7,4.4,27479,Av_Temp
1864,-16.6,-11.2,-4.0,5.3,10.8,22.3,21.0,19.4,9.3,0.0,-9.2,-12.7,2.9,27479,Av_Temp
1865,-9.0,-13.2,-7.2,1.5,8.3,15.8,21.0,16.2,8.8,1.4,-2.4,-9.0,2.7,27479,Av_Temp
1866,-7.4,-14.1,-4.3,2.0,12.6,17.5,21.0,17.6,14.9,1.3,-2.3,-7.7,4.3,27479,Av_Temp
1867,-11.4,-11.0,-8.2,2.6,8.4,18.5,20.8,16.5,10.6,5.5,-3.2,-12.6,3.0,27479,Av_Temp
1868,-15.7,-12.3,-5.8,2.4,10.8,16.3,19.8,18.1,11.0,6.9,-2.8,-7.6,3.4,27479,Av_Temp
1869,-15.9,-7.3,-6.4,3.7,11.5,19.8,21.9,23.4,13.0,5.9,1.3,-5.7,5.4,27479,Av_Temp
1870,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1871,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1872,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1873,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1874,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1875,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1876,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1877,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1878,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1879,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1880,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1881,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1882,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1883,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1884,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1885,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1886,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1887,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
1888,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27479,Av_Temp
